paper,nombre
http://dblp.l3s.de/d2r/resource/publications/conf/aina/IkedaKHBT12,Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/aina/IkedaMBT08,Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/aina/IkedaOKHBX13,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda
http://dblp.l3s.de/d2r/resource/publications/conf/aina/KullaIBXYT13,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/aina/KullaIOBXB12,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda
http://dblp.l3s.de/d2r/resource/publications/conf/aina/LiuESBXU15,Fatos_Xhafa|Leonard_Barolli|Yi_Liu
http://dblp.l3s.de/d2r/resource/publications/conf/aina/LiuSBI17,Leonard_Barolli|Makoto_Ikeda|Yi_Liu
http://dblp.l3s.de/d2r/resource/publications/conf/aina/LiuSSMBX16,Fatos_Xhafa|Leonard_Barolli|Yi_Liu
http://dblp.l3s.de/d2r/resource/publications/conf/aina/MarcoIYB07,Leonard_Barolli|Makoto_Ikeda|Tao_Yang
http://dblp.l3s.de/d2r/resource/publications/conf/aina/MatsuoBXKDT08,Fatos_Xhafa|Leonard_Barolli|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/aina/OdaBSXBTU12,Fatos_Xhafa|Leonard_Barolli|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/aina/OdaOIBT17,Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/aina/OdaSBXBT13,Fatos_Xhafa|Leonard_Barolli|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/aina/SakamotoOBBIX14,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda
http://dblp.l3s.de/d2r/resource/publications/conf/aina/SakamotoOBIXU15,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda
http://dblp.l3s.de/d2r/resource/publications/conf/aina/SakamotoOIBX16,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda
http://dblp.l3s.de/d2r/resource/publications/conf/aina/SpahoIBXBI12,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda
http://dblp.l3s.de/d2r/resource/publications/conf/aina/SpahoIBXYT13,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa
